AllCue,AllCueDerivative,AllTarget,AllTargetDerivative,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,conf1,conf2,conf3,conf4,conf5,conf6,conf7,conf8,conf9,conf10,conf11,conf12,conf13,conf14,tr,idnum
0.0157553,-0.0121875,0.1878366,-0.04113156,0.3839866,0.8559933,1.035,-0.3139866,-0.6100269,0.8119731,0.4839933,-0.1100201,0.1450067,0.4600134,-0.0003768219,-0.0005089183,0.000753628,0.01289626,0.1810375,-0.09066752,0.0003311661,1.634083e-05,8.293886e-06,-0.007985821,0.00839028,-0.001777043,-2.505712,-0.3615119,14,101
-0.00361646,-0.01506223,0.001867089,-0.1796582,0.3189866,-0.2080067,0.128,0.2050134,-0.5380268,0.4849732,0.1719933,-0.5890201,-0.06499329,0.2910134,-0.0002064419,-0.0003631783,0.000753628,0.008024565,0.1567275,-0.07368252,0.0001607061,0.0001298488,8.293886e-06,-0.004690721,-0.02232072,0.01525066,1.549808,-0.3305567,15,101
-0.01448715,-0.007297361,-0.1723936,-0.1234522,0.4539866,-0.2900067,-0.005000002,0.4390134,0.3169732,0.3339731,0.3139933,0.9549798,-0.09499329,0.3570134,-0.0003956919,-0.0003631783,0.000922308,-0.0001795425,0.1569375,-0.02705552,-0.0001989239,-1.589017e-05,0.0001769839,-0.008023121,0.00219628,0.04489366,2.44213,0.5430065,16,101
-0.01838634,-0.002032997,-0.2468922,-0.04445287,1.350987,0.7989933,0.699,1.058013,1.172973,0.4959731,0.8259933,1.33998,0.7270067,0.9920134,-0.0003817319,-0.0005173683,0.000884608,-0.0001843715,0.1590975,-0.01793852,4.284128e-06,-0.0001700912,-2.946611e-05,0.0001761501,0.00414728,0.007382657,-0.5371137,0.8763019,17,101
-0.01874881,0.0004892748,-0.2635565,0.004692015,0.9929865,0.2209933,0.238,0.5100134,0.2189732,0.5849731,0.3039933,-1.00702,-0.3889933,0.9420134,0.0002111161,-0.0004136583,0.000753628,0.004821965,0.1671175,-0.04833252,0.0005831761,8.782883e-05,-0.0001226361,0.005187379,0.01001128,-0.03212934,0.9361883,1.174518,18,101
-0.01760537,0.001320616,-0.2398553,0.1515781,1.176987,-1.981007,-1.585,0.2390134,-1.882027,-0.5190268,-0.7360067,-2.20902,-1.362993,0.4660134,-0.0008669119,-0.0003631783,0.000813208,0.003509565,0.1583675,-0.04377852,-0.001087674,3.459183e-05,6.785289e-05,-0.001131421,-0.00676272,0.002819757,1.741201,1.18259,19,101
-0.01629914,0.001191734,0.03738067,0.2040698,0.8909866,-0.3570067,-0.348,1.308013,0.4169732,-0.5390268,0.1279933,0.8159799,-0.08799329,0.7840134,-0.0001406219,-0.0003631783,0.000979308,-0.0001760695,0.1549875,0.005362479,0.0007166161,-1.589017e-05,0.0001744239,-0.003504721,-0.00139772,0.04740666,-0.3189257,0.7747351,20,101
-0.01540659,0.008581334,0.1675623,-0.02237953,0.06798658,-0.07500671,0.022,-0.3449866,0.3479731,-0.4000269,-1.270007,1.37498,0.6830067,-0.3749866,3.483815e-05,-0.0003631783,0.000810508,0.004400365,0.1790575,-0.005813521,0.0001657861,-1.589117e-05,-0.0001604861,0.004757479,0.02606228,-0.01291034,-1.639472,0.2771645,21,101
0.000683529,0.02139203,-0.007397522,-0.1630095,1.185987,-0.5150067,-0.73,-0.2069866,-1.021027,-1.002027,-0.7710067,0.1369799,0.4460067,-0.4079866,0.0003624081,-0.0003631783,0.000753628,0.006137865,0.1677775,-0.01904652,0.0003178961,-1.589117e-05,-4.861511e-05,0.001918479,-0.00929172,-0.01496834,0.7320013,-0.1068358,22,101
0.02728208,0.006322882,-0.1594205,-0.1102129,1.105987,-0.2510067,0.275,1.132013,0.9259732,0.5249731,0.2579933,-0.3190201,-0.5969933,0.5360134,0.0006107981,-0.0001009483,0.000769638,0.01214526,0.1560875,-0.01528152,0.0002387161,0.0002463388,2.430789e-05,0.006188479,-0.00970172,0.002031457,0.1829283,-0.1305859,23,101
